StormID,Time,Start,End,Ini_Lat,Ini_Lon,Ini_Time,,Lat_2,Lon_2,Time_2,,Lat_3,Lon_3,Time_3,,Distance1,Distance2,,Total Distance KM,Total Distance m,,Time1,Time2,TotalTime(S),,ObservedMotion(m/s),,,,Distance1_U,,Distance2_U,TotalD_U_dist,TotalU_Vector,,,Distance1_V,,Distance2_V,TotalD_V_dist,TotalV_Vector,,,TotalU_Vector,TotalV_Vector,,U**2,V**2,Mag,,AngleRad,AngleDeg
16,23,23:01,23:11,34.9207,-98.52563,23:01,1/0/1900 23:01,34.97231,-98.48142,23:11,1/0/1900 23:11,null,null,null,null,7.0065459,0,,7.0065459,7006.5459,,600,#VALUE!,600,,11.6775765,,,16,4.039739685,,0,4.039739685,6.732899475,,16,5.725592515,,0,5.725592515,9.542654192,,,6.732899475,9.542654192,,45.33193534,91.06224903,11.67879208,,0.95634965,54.7947987
17,0,23:11,0:56,34.09097,-98.96378,23:48,1/0/1900 23:48,34.22563,-98.866,0:03,1/0/1900 0:03,34.34231,-98.80875,0:14,1/0/1900 0:14,17.44759642,13.97530393,,31.42290035,31422.90035,,900,660,1560,,20.14288484,,,17,9.02374308,17,5.275003919,14.298747,9.165863461,,17,14.93719399,17,12.9430237,27.88021769,17.87193442,,,9.165863461,17.87193442,,84.01305299,319.4060399,20.08529544,,1.096910927,62.84836663
17,1,xxx,xxx,34.62629,-98.56709,0:45,1/0/1900 0:45,34.69033,-98.43707,0:56,1/0/1900 0:56,null,null,null,null,13.87511228,0,,13.87511228,13875.11228,,660,#VALUE!,660,,21.02289739,,,17,11.9229976,,0,11.9229976,18.06514788,,17,7.104234613,,0,7.104234613,10.76399184,,,18.06514788,10.76399184,,326.3495679,115.8635203,21.02886322,,0.537357273,30.78830385
18,0,23:27,0:35,34.31041,-98.75706,23:48,1/0/1900 23:48,34.41827,-98.67049,0:03,1/0/1900 0:03,34.48473,-98.68887,0:14,1/0/1900 0:14,14.37264179,7.563442259,,21.93608405,21936.08405,,900,660,1560,,14.06159234,,,18,7.968542084,18,1.689664489,9.658206573,6.19115806,,18,11.96480021,18,7.372445504,19.33724571,12.39567033,,,6.19115806,12.39567033,,38.33043812,153.6526429,13.85579594,,1.107579742,63.45964469
19,0,23:53,1:22,34.60451,-98.59406,23:53,1/0/1900 23:53,34.65377,-98.55429,0:03,1/0/1900 0:03,34.72104,-98.52937,0:14,1/0/1900 0:14,6.569721653,7.804144958,,14.37386661,14373.86661,,600,660,1260,,11.40783064,,,19,3.64791196,19,2.284441849,5.932353809,4.708217309,,19,5.464599,19,7.46258819,12.92718719,10.25967237,,,4.708217309,10.25967237,,22.16731023,105.2608771,11.28840943,,1.140561535,65.34936225
19,1,xxx,xxx,34.98505,-98.44541,0:45,1/0/1900 0:45,35.03225,-98.33886,1:01,1/0/1900 1:01,35.11867,-98.23526,1:17,1/0/1900 1:17,11.04580142,13.46110089,,24.5069023,24506.9023,,960,960,1920,,12.76401161,,,19,9.728522789,19,9.453741812,19.1822646,9.990762813,,19,5.236402594,19,9.587603924,14.82400652,7.720836728,,,9.990762813,7.720836728,,99.81534159,59.61131978,12.6264271,,0.657932588,37.69676049
20,0,23:32,0:30,34.76326,-98.42255,23:48,1/0/1900 23:48,34.87746,-98.35884,0:03,1/0/1900 0:03,34.94016,-98.3255,0:14,1/0/1900 0:14,13.94552552,7.593934397,,21.53945991,21539.45991,,900,660,1560,,13.8073461,,,20,5.832670301,20,3.048077936,8.880748237,5.692787331,,20,12.66903842,20,6.955869391,19.62490781,12.58006911,,,5.692787331,12.58006911,,32.4078276,158.2581388,13.80818476,,1.145845151,65.65209112
21,1,0:30,1:57,34.27565,-99.14723,0:45,1/0/1900 0:45,34.3511,-99.11397,1:01,1/0/1900 1:01,34.43666,-99.07063,1:17,1/0/1900 1:17,8.911845792,10.2939207,,19.2057665,19205.7665,,960,960,1920,,10.00300339,,,21,3.062757209,21,3.9874082,7.050165409,3.671961151,,21,8.369522049,21,9.491129764,17.86065181,9.302422819,,,3.671961151,9.302422819,,13.48329869,86.5350703,10.00091841,,1.194839824,68.4592791
21,2,xxx,xxx,34.56083,-99.03615,1:43,1/0/1900 1:43,34.63991,-99.0485,1:57,1/0/1900 1:57,null,null,null,null,8.845447933,0,,8.845447933,8845.447933,,840,#VALUE!,840,,10.53029516,,,21,1.133399286,,0,1.133399286,1.349284864,,21,8.772603478,,0,8.772603478,10.44357557,,,1.349284864,10.44357557,,1.820569644,109.0682707,10.53037703,,1.442310472,82.63830277
22,1,0:51,1:33,35.08721,-98.47652,0:51,1/0/1900 0:51,35.18051,-98.4531,1:01,1/0/1900 1:01,35.30656,-98.36778,1:17,1/0/1900 1:17,10.56876947,15.99604689,,26.56481636,26564.81636,,600,960,1560,,17.02872844,,,22,2.135698086,22,7.771563157,9.907261243,6.350808489,,22,10.3509845,22,13.98462242,24.33560692,15.59974803,,,6.350808489,15.59974803,,40.33276846,243.3521386,16.84294829,,1.184175977,67.8482857
